[2024-12-14T07:56:28.499+0000] {processor.py:186} INFO - Started process (PID=33634) to work on /Users/rtewelde/airflow_venv/lib/python3.11/site-packages/airflow/example_dags/example_datasets.py
[2024-12-14T07:56:28.500+0000] {processor.py:914} INFO - Processing file /Users/rtewelde/airflow_venv/lib/python3.11/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2024-12-14T07:56:28.501+0000] {logging_mixin.py:190} INFO - [2024-12-14T07:56:28.501+0000] {dagbag.py:588} INFO - Filling up the DagBag from /Users/rtewelde/airflow_venv/lib/python3.11/site-packages/airflow/example_dags/example_datasets.py
[2024-12-14T07:56:28.542+0000] {processor.py:925} INFO - DAG(s) 'conditional_dataset_and_time_based_timetable', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_consumes_1_and_2', 'dataset_consumes_unknown_never_scheduled', 'dataset_consumes_1_never_scheduled', 'dataset_consumes_1', 'dataset_produces_1', 'dataset_produces_2', 'consume_1_and_2_with_dataset_expressions', 'consume_1_or_2_with_dataset_expressions' retrieved from /Users/rtewelde/airflow_venv/lib/python3.11/site-packages/airflow/example_dags/example_datasets.py
[2024-12-14T07:56:28.702+0000] {logging_mixin.py:190} INFO - [2024-12-14T07:56:28.702+0000] {dag.py:3239} INFO - Sync 10 DAGs
[2024-12-14T07:56:28.719+0000] {logging_mixin.py:190} INFO - [2024-12-14T07:56:28.719+0000] {dag.py:4180} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2024-12-11 01:00:00+00:00, run_after=2024-12-11 01:00:00+00:00
[2024-12-14T07:56:28.723+0000] {logging_mixin.py:190} INFO - [2024-12-14T07:56:28.723+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2024-12-14T07:56:28.724+0000] {logging_mixin.py:190} INFO - [2024-12-14T07:56:28.724+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2024-12-14T07:56:28.724+0000] {logging_mixin.py:190} INFO - [2024-12-14T07:56:28.724+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2024-12-14T07:56:28.725+0000] {logging_mixin.py:190} INFO - [2024-12-14T07:56:28.725+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2024-12-14T07:56:28.726+0000] {logging_mixin.py:190} INFO - [2024-12-14T07:56:28.726+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2024-12-14T07:56:28.727+0000] {logging_mixin.py:190} INFO - [2024-12-14T07:56:28.727+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2024-12-14T07:56:28.727+0000] {logging_mixin.py:190} INFO - [2024-12-14T07:56:28.727+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2024-12-14T07:56:28.729+0000] {logging_mixin.py:190} INFO - [2024-12-14T07:56:28.729+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_1 to 2024-12-13 00:00:00+00:00, run_after=2024-12-14 00:00:00+00:00
[2024-12-14T07:56:28.730+0000] {logging_mixin.py:190} INFO - [2024-12-14T07:56:28.730+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2024-12-14T07:56:28.759+0000] {processor.py:208} INFO - Processing /Users/rtewelde/airflow_venv/lib/python3.11/site-packages/airflow/example_dags/example_datasets.py took 0.263 seconds
